2024-05-17 07:01:57

Description 
===========





IV Curve
========

Abbreviation: BC = Bias Current (muA), BV = Bias Voltage (V), C = Counts, IT = Integration Time (ms)
Detector number is attached to abbreviation, e.g. BV3 is the bias voltage of the third detector.

BC	BV1	BV2	BV3	BV4	C1	C2	C3	C4	IT
8.9	0.003	0.003	0.001	0.002	0	0	0	0	200.0
9.0	0.002	0.002	-0.0	0.004	0	0	0	0	200.0
9.1	0.004	0.001	0.002	0.003	0	0	0	0	200.0
9.2	0.003	0.003	0.001	0.005	0	0	0	0	200.0
9.3	0.003	-0.002	0.003	0.002	0	0	0	0	200.0
9.4	0.004	0.002	0.002	0.001	0	0	0	0	200.0
9.5	0.001	0.004	0.002	0.003	0	0	0	0	200.0
9.6	0.004	0.003	0.001	0.004	0	0	0	0	200.0
9.7	0.006	0.002	0.0	0.002	0	0	0	0	200.0
9.8	0.007	0.001	-0.001	0.001	0	0	0	0	200.0
9.9	0.002	0.003	0.001	0.003	0	0	0	0	200.0
10.0	0.004	0.003	-0.002	-0.0	0	0	0	0	200.0
10.1	0.001	0.0	-0.001	0.002	0	0	0	0	200.0
10.2	0.005	0.004	0.003	0.001	0	0	0	0	200.0
10.3	0.004	0.001	0.002	0.001	0	0	0	0	200.0
10.4	0.004	0.002	0.002	0.001	0	0	0	0	200.0
10.5	0.006	0.003	0.004	0.002	0	0	0	0	200.0
10.6	0.001	0.001	0.002	0.0	0	0	0	0	200.0
10.7	0.002	0.002	0.002	0.003	0	0	0	0	200.0
10.8	0.003	0.001	-0.001	0.005	0	0	0	0	200.0
10.9	0.005	0.003	0.003	0.002	0	0	0	0	200.0
11.0	0.002	0.004	0.002	0.001	0	0	0	0	200.0
11.1	0.002	0.002	0.002	0.001	0	0	0	0	200.0
11.2	0.006	0.002	0.003	0.001	0	0	0	0	200.0
11.3	0.003	0.002	0.003	0.004	0	0	0	0	200.0
11.4	0.005	0.002	0.0	0.004	0	0	0	0	200.0
11.5	0.004	0.001	0.004	0.003	0	0	0	0	200.0
11.6	0.004	0.0	-0.002	0.003	0	0	0	0	200.0
11.7	0.005	0.002	0.003	0.002	0	0	0	0	200.0
11.8	0.005	0.004	0.003	0.004	0	0	0	0	200.0
11.9	0.004	0.001	-0.003	0.003	0	0	0	0	200.0
12.0	0.003	0.002	0.003	0.004	0	0	0	0	200.0
